id;start_date;end_date;language
1;2019-06-04T17:03:37;2019-06-04T10:11:55;FRENCH
2;2019-06-04T18:33:43;2019-06-04T03:39:53;FRENCH
3;2019-06-04T14:05:47;2019-06-04T05:29:47;FRENCH
4;2019-06-04T03:17:39;2019-06-04T10:44:40;FRENCH
5;2019-06-04T12:16:18;2019-06-04T17:00:26;FRENCH
6;2019-06-04T18:33:18;2019-06-04T19:50:14;FRENCH
7;2019-06-04T03:55:38;2019-06-04T16:36:25;FRENCH
8;2019-06-04T01:26:57;2019-06-04T09:27:06;FRENCH
9;2019-06-04T11:15:03;2019-06-04T19:39:41;FRENCH
10;2019-06-04T14:33:12;2019-06-04T11:49:27;FRENCH
